Saint Louis SMaSH Ale,Cream Ale,7.04,12.82,3.59 °L
Orange Haze NEIPA,American IPA,6.36,76.81,5.71 °L
Asahi Clone - Test Recipe 1,International Pale Lager,4.56,12.68,2.59 °L
Smoked Maple Amber Ale,American Amber Ale,6.93,18.76,14.99 °L
Kentucky Bourbon Barrel Ale,Wood-Aged Beer,8.28,17.41,11.3 °L
CCCA Black Ipa,American IPA,5.77,106.12,28.56 °L
Brooklyn Lager,Vienna Lager,5.04,29.22,8.23 °L
Sample BIAB SMaSH,American Pale Ale,5.65,44.37,5.57 °L
Golden Horny Devil,Belgian Golden Strong Ale,8.34,32.96,3.59 °L
Rob's Outmeal Stout,Oatmeal Stout,5.64,41.45,37.31 °L
Rob's Outmeal Stout,Oatmeal Stout,5.64,41.45,37.31 °L
Quilter's Irish Death Clone,No Profile Selected,6.93,48.99,18.67 °L
Citra Sunshine IPA,American IPA,7.33,99.91,6.08 °L
Yuengling Clone,Cream Ale,5.5,17.51,10.61 °L
American Peach Sour,Fruit Lambic,4.67,7.21,4.49 °L
Chimay,Belgian Tripel,9.25,13.05,5.47 °L
Schell's Pils Clone,Classic American Pilsner,5.77,37.49,3.59 °L
NEIPA #12,Specialty IPA: New England IPA,6.82,37.35,7.02 °L
21st Ammendment Hell Or High Watermelon Wheat Clone Partial Mash,American Wheat or Rye Beer,4.59,16.93,3.89 °L
Chocolate Milkshake IPA,American IPA,6.28,45.03,25.52 °L
India Red Ale,American IPA,6.71,65.56,15.49 °L
It's All In The Details,Belgian Blond Ale,7.78,14.6,3.21 °L
Foundation Red #2,Irish Red Ale,5.81,18.54,13.67 °L
Chocolate Coffee Vanilla Stout,American Stout,6.3,49.3,43.83 °L
Weizen / Weissbier,Weizen/Weissbier,5.01,13.37,4.62 °L
Black IPA (Citra/Lemon) - One Gallon,Imperial IPA,11.38,60.45,14.86 °L
Gypsy Tears,Irish Red Ale,5.02,22.34,14.89 °L
#2 - IPA 60,American IPA,6.46,55.92,4.65 °L
Chocolate Coconut Porter,Robust Porter,7.23,48.77,41.64 °L
O.H. STRONG SCOTCH ALE,Strong Scotch Ale,8.28,26.36,25.57 °L
O.H. STRONG SCOTCH ALE,Strong Scotch Ale,8.28,26.36,25.57 °L
Guinness Draught Clone,Dry Stout,4.82,42.37,32.47 °L
Christmas Cookie Ale,Holiday/Winter Special Spiced Beer,6.13,22.41,20.53 °L
Blond Lychee,Blonde Ale,5.02,23.07,4.09 °L
Smoked Porter,Classic Style Smoked Beer,7.11,35.34,41.28 °L
Barleywine For Whiskey Barrel,American Barleywine,9.32,85.94,11.43 °L
I-IPA (Mosaic/Amarillo/Cascade/Citra),Imperial IPA,8.91,64.94,12.54 °L
Oktoberfest/Marzen,Oktoberfest/Märzen,7.57,11.15,12.87 °L
Pansy Planting Red Ale,Oktoberfest/Märzen,6.14,287.51,28.89 °L
Hefe Weissbier Hell,Weizen/Weissbier,4.69,10.5,3.27 °L
"""The Kraken"" Belgian Strong (5gal BIAB)",Belgian Dark Strong Ale,9.42,28.8,20.34 °L
Weihenstephaner Tradition Dunkel,Munich Dunkel,4.53,19.46,24.99 °L
Vienna Lager 1,Vienna Lager,5.34,24.19,10.04 °L
American Imperial  Stout I - Beer,Imperial Stout,9.01,74.3,42.87 °L
Australian IPA,No Profile Selected,5.05,33,9.92 °L
Rhys's Peanut Butter Stout,Sweet Stout,5.01,29.3,34.2 °L
Grapefruit IPA,American IPA,7.46,48.44,9.51 °L
Three Floyds Zombie Dust Clone,American Pale Ale,7.21,190.13,12.2 °L
DDH NE-Style IPA,American IPA,7.19,56.08,4.43 °L
Creamy Nut Brown,American Brown Ale,5.85,39.09,31.74 °L
Guiness Clone,Irish Stout,3.95,43.37,36.51 °L
Belgian Golden Strong (Toro Hills),Belgian Golden Strong Ale,8.2,25.86,3.41 °L
Pumpkin Spice Coffee Oatmeal Vanilla Milk Stout,Spice Herb or Vegetable Beer,5.47,29.19,40 °L
Vienna SMASH Lager,Vienna Lager,4.86,31.47,5.82 °L
Oatmeal Stout - BIAB,Oatmeal Stout,6.31,36.62,28.77 °L
Raspberry Cream Ale,Cream Ale,5.84,23.44,5.64 °L
Moose Drool Clone,American Brown Ale,5.27,16.83,21.4 °L
Crooked Numbers Summer Ale,American Wheat or Rye Beer,5.09,28.52,5.81 °L
Midnight Ryed,Imperial IPA,8.05,97.08,40 °L
'  #1 All American Liberty Lager,Premium American Lager,5.55,17.15,5.75 °L
Competition NEIPA,American IPA,7.82,32.98,6.86 °L
Combine Imperial Red Ale,American Strong Ale,7.43,57.96,13.94 °L
ESB,Extra Special/Strong Bitter (ESB),5.18,37.07,9.74 °L
Sterk,English Barleywine,10.2,61.34,12.21 °L
Heimeøl,No Profile Selected,7.64,0,3.6 °L
PMP Old Speckled Hen-EXTRACT,Extra Special/Strong Bitter (ESB),6.41,35.21,10.28 °L
Dags Juleøl,American Amber Ale,6.15,48.69,16.74 °L
Coffee Brown Ale,American Brown Ale,9.55,49.31,31.09 °L
American Wheat (partial Mash),American Wheat or Rye Beer,5.26,24.67,3.94 °L
GL Christmas Ale - Clone,Holiday/Winter Special Spiced Beer,7.5,24.77,11.22 °L
